start_time,end_time,speaker,text
2.5,6.16,SPEAKER_00,"Donald Trump and Sarah Palin with an encore performance today."
6.2,11.54,SPEAKER_01,"Everybody wanted her endorsement. She said what you're doing, Donald, is amazing."
11.68,14.62,SPEAKER_00,"The duo hitting the campaign trail together in Oklahoma."
14.96,18.4,SPEAKER_01,"We have a movement going on folks, we have a movement."
19.09,25.44,SPEAKER_01,"This is not, this is not a normal situation. People are sick and tired and fed up and yes, we're angry"
26.13,27.19,SPEAKER_01,"We are angry."
28.32,32.56,SPEAKER_00,"Rallying supporters at the conservative Christian university, Oral Roberts."
32.5,33.48,SPEAKER_02,"And here we got."
34.4,51.6,SPEAKER_02,"A red-head from the Big Red Apple running for President. And yet, the GOP machine all of a sudden, they're saying, we're not red enough. We're not conservative enough. And I say, what in the world do they know about conservatism?"
51.98,63.67,SPEAKER_00,"Palin's support, a boost to Trump's conservative credentials. And a potential momentum killer for Ted Cruz, threatening to cut his main argument against Trump, that Trump is a closet liberal."
66.98,74.84,SPEAKER_00,"Trump flying solo this morning in Iowa, despite a campaign announcement that Palin would travel with the GOP frontrunner to both of today's events."
75.31,78.76,SPEAKER_01,"Well how can you be running with a cloud over your head."
79.16,83.24,SPEAKER_00,"Giving Trump the spotlight to himself to unload on Ted Cruz."
82.05,87.53,SPEAKER_01,"And he said, with the, with the, being a Canadian citizen, he said, oh I didn't know that."
88.84,89.96,SPEAKER_01,"How did he not know that?"
90.94,92.81,SPEAKER_01,"Then he said with the loans, oh!"
93.35,94.17,SPEAKER_01,"I didn't know that."
94.93,96.92,SPEAKER_01,"Smart guy. He doesn't know that?"
97.54,99.81,SPEAKER_01,"Yeah that's worse than Hillary when you think about it."
100.32,102.1,SPEAKER_00,"And twists the knife a bit."
102.42,104.12,SPEAKER_01,"You have a great governor in this state."
105.19,113.48,SPEAKER_01,"Terry Branstad came out yesterday and he said, you can't have, you can't have Cruz. And I think it has to do with more than ethanol." 
114.1,120.48,SPEAKER_00,"Cruz today in New Hampshire launching a fresh attack at Trump for favoring big government when it comes to energy policy."
118.34,132.52,SPEAKER_03,"And they're all promising just yesterday. Donald Trump promised not only to protect the ethanol mandate to, but to expand it. To have the federal government do even more, picking winners and losers by mandating ethanol be a larger part of the market place."
133.08,149.56,SPEAKER_00,"Amid this battle there are no signs of wear for Trump. A new national poll showing Trump way out in front, with more than twice as much support as his closest rival. And in the CNN WMUR New Hampshire poll, Trump tops the pack, twenty points ahead of everyone else."
150.04,155.6,SPEAKER_00,"Facing these headwinds, Ted Cruz making a big point. Showing he's trying to keep his spirits up."
155.91,157.05,SPEAKER_03,"Style matters."
158.04,161.12,SPEAKER_03,"Look, would it kill republicans to crack a joke?"
162.76,164.29,SPEAKER_03,"Actually some of them I think it might."
165.94,168.27,SPEAKER_03,"You know, have a little fun for Pete's sake."
